year,date,day_of_year,month,day,event,station_name_jp,station_name_en,station_name_ja,jma_station_code,wmo_station_id,country_area,latitude_deg,longitude_deg
1965,1965-03-28,87,3,28,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1966,1966-03-17,76,3,17,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1967,1967-03-25,84,3,25,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1968,1968-03-28,88,3,28,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1969,1969-03-25,84,3,25,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1971,1971-03-27,86,3,27,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1972,1972-03-30,90,3,30,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1973,1973-04-01,91,4,1,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1974,1974-03-25,84,3,25,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1975,1975-04-02,92,4,2,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1976,1976-03-25,85,3,25,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1977,1977-03-20,79,3,20,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1978,1978-04-04,94,4,4,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1979,1979-03-31,90,3,31,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1980,1980-03-31,91,3,31,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1981,1981-03-26,85,3,26,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1982,1982-03-26,85,3,26,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1983,1983-04-02,92,4,2,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1984,1984-04-04,95,4,4,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1985,1985-03-25,84,3,25,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1986,1986-03-29,88,3,29,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1987,1987-03-30,89,3,30,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1988,1988-04-04,95,4,4,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1989,1989-03-16,75,3,16,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1990,1990-03-20,79,3,20,flowering,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
