year,date,day_of_year,month,day,event,station_name_jp,station_name_en,jma_station_code,wmo_station_id,country_area,latitude_deg,longitude_deg,display_name,osm_type,osm_id,country,country_code,neighbourhood,quarter,city,subprovince,province,postcode,climate_classification_koppen
1953,1953-05-24,144,5,24,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1954,1954-05-16,136,5,16,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1955,1955-05-18,138,5,18,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1956,1956-05-09,130,5,9,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1959,1959-05-03,123,5,3,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1961,1961-05-08,128,5,8,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1963,1963-05-13,133,5,13,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1965,1965-05-17,137,5,17,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1966,1966-05-18,138,5,18,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1967,1967-05-10,130,5,10,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1968,1968-05-06,127,5,6,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1969,1969-05-09,129,5,9,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1970,1970-05-08,128,5,8,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1971,1971-05-16,136,5,16,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1972,1972-05-03,124,5,3,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1973,1973-05-09,129,5,9,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1974,1974-05-16,136,5,16,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1975,1975-05-14,134,5,14,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1976,1976-05-13,134,5,13,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1977,1977-05-13,133,5,13,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1978,1978-05-10,130,5,10,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1979,1979-05-24,144,5,24,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1980,1980-05-21,142,5,21,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1981,1981-05-14,134,5,14,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1982,1982-05-11,131,5,11,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1983,1983-05-03,123,5,3,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1984,1984-05-24,145,5,24,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1985,1985-05-10,130,5,10,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1986,1986-05-08,128,5,8,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1987,1987-05-09,129,5,9,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1988,1988-05-12,133,5,12,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1989,1989-05-16,136,5,16,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1990,1990-05-07,127,5,7,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1991,1991-05-08,128,5,8,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1992,1992-05-13,134,5,13,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1993,1993-05-20,140,5,20,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1994,1994-05-13,133,5,13,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1995,1995-05-08,128,5,8,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
1996,1996-05-24,145,5,24,flowering,網走,ABASHIRI,409,47409,JAPAN,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb
