province,year,mean_day_of_year,median_day_of_year,std_day_of_year,min_day_of_year,max_day_of_year,station_count,record_count
三重県,1953,98.5,98.5,4.95,95,102,2,2
三重県,1954,94.0,94.0,0.0,94,94,2,2
三重県,1955,92.5,92.5,3.54,90,95,2,2
三重県,1956,98.5,98.5,2.12,97,100,2,2
三重県,1957,101.5,101.5,2.12,100,103,2,2
三重県,1958,100.5,100.5,3.54,98,103,2,2
三重県,1959,89.5,89.5,2.12,88,91,2,2
三重県,1960,96.5,96.5,4.95,93,100,2,2
三重県,1961,96.5,96.5,3.54,94,99,2,2
三重県,1962,101.0,101.0,2.83,99,103,2,2
三重県,1963,98.0,98.0,2.83,96,100,2,2
三重県,1964,99.5,99.5,2.12,98,101,2,2
三重県,1965,107.0,107.0,0.0,107,107,2,2
三重県,1966,91.0,91.0,4.24,88,94,2,2
三重県,1967,94.0,94.0,1.41,93,95,2,2
三重県,1968,97.0,97.0,2.83,95,99,2,2
三重県,1969,99.5,99.5,2.12,98,101,2,2
三重県,1970,103.0,103.0,4.24,100,106,2,2
三重県,1971,94.5,94.5,3.54,92,97,2,2
三重県,1972,96.5,96.5,3.54,94,99,2,2
三重県,1973,98.0,98.0,7.07,93,103,2,2
三重県,1974,96.5,96.5,6.36,92,101,2,2
三重県,1975,97.5,97.5,2.12,96,99,2,2
三重県,1976,95.5,95.5,0.71,95,96,2,2
三重県,1977,91.0,91.0,4.24,88,94,2,2
三重県,1978,102.0,102.0,2.83,100,104,2,2
三重県,1979,97.5,97.5,2.12,96,99,2,2
三重県,1980,97.0,97.0,1.41,96,98,2,2
三重県,1981,94.0,94.0,1.41,93,95,2,2
三重県,1982,89.5,89.5,0.71,89,90,2,2
三重県,1983,97.5,97.5,0.71,97,98,2,2
三重県,1984,105.5,105.5,4.95,102,109,2,2
三重県,1985,95.5,95.5,0.71,95,96,2,2
三重県,1986,97.0,97.0,1.41,96,98,2,2
三重県,1987,96.0,96.0,0.0,96,96,2,2
三重県,1988,100.5,100.5,2.12,99,102,2,2
三重県,1989,90.0,90.0,1.41,89,91,2,2
三重県,1990,90.0,90.0,1.41,89,91,2,2
三重県,1991,96.0,96.0,1.41,95,97,2,2
三重県,1992,93.5,93.5,0.71,93,94,2,2
三重県,1993,97.0,97.0,0.0,97,97,2,2
三重県,1994,97.0,97.0,0.0,97,97,2,2
三重県,1995,100.0,100.0,0.0,100,100,2,2
三重県,1996,98.0,98.0,5.66,94,102,2,2
三重県,1997,94.0,94.0,0.0,94,94,2,2
三重県,1998,90.0,90.0,0.0,90,90,2,2
三重県,1999,92.0,92.0,1.41,91,93,2,2
三重県,2000,99.0,99.0,1.41,98,100,2,2
三重県,2001,94.0,94.0,0.0,94,94,2,2
三重県,2002,86.0,86.0,0.0,86,86,2,2
三重県,2003,90.5,90.5,2.12,89,92,2,2
三重県,2004,93.0,93.0,1.41,92,94,2,2
三重県,2005,98.0,98.0,0.0,98,98,2,2
三重県,2006,92.5,92.5,4.95,89,96,2,2
三重県,2007,90.0,90.0,1.41,89,91,2,2
三重県,2008,92.0,92.0,,92,92,1,1
三重県,2009,92.0,92.0,,92,92,1,1
三重県,2010,91.0,91.0,,91,91,1,1
三重県,2011,95.0,95.0,,95,95,1,1
三重県,2012,99.0,99.0,,99,99,1,1
三重県,2013,89.0,89.0,,89,89,1,1
三重県,2014,91.0,91.0,,91,91,1,1
三重県,2015,90.0,90.0,,90,90,1,1
三重県,2016,93.0,93.0,,93,93,1,1
三重県,2017,95.0,95.0,,95,95,1,1
三重県,2018,88.0,88.0,,88,88,1,1
三重県,2019,93.0,93.0,,93,93,1,1
三重県,2020,91.0,91.0,,91,91,1,1
三重県,2021,84.0,84.0,,84,84,1,1
三重県,2022,89.0,89.0,,89,89,1,1
三重県,2023,86.0,86.0,,86,86,1,1
三重県,2024,93.0,93.0,,93,93,1,1
三重県,2025,92.0,92.0,,92,92,1,1
京都府,1953,100.5,100.5,0.71,100,101,2,2
京都府,1954,94.5,94.5,0.71,94,95,2,2
京都府,1955,97.0,97.0,0.0,97,97,2,2
京都府,1956,101.5,101.5,0.71,101,102,2,2
京都府,1957,104.0,104.0,2.83,102,106,2,2
京都府,1958,98.5,98.5,0.71,98,99,2,2
京都府,1959,92.5,92.5,0.71,92,93,2,2
京都府,1960,96.0,96.0,0.0,96,96,2,2
京都府,1961,97.5,97.5,2.12,96,99,2,2
京都府,1962,98.5,98.5,2.12,97,100,2,2
京都府,1963,100.0,100.0,1.41,99,101,2,2
京都府,1964,97.5,97.5,0.71,97,98,2,2
京都府,1965,107.0,107.0,0.0,107,107,2,2
京都府,1966,96.0,96.0,0.0,96,96,2,2
京都府,1967,97.5,97.5,2.12,96,99,2,2
京都府,1968,100.0,100.0,5.66,96,104,2,2
京都府,1969,103.0,103.0,0.0,103,103,2,2
京都府,1970,106.5,106.5,2.12,105,108,2,2
京都府,1971,99.0,99.0,2.83,97,101,2,2
京都府,1972,97.5,97.5,0.71,97,98,2,2
京都府,1973,98.5,98.5,0.71,98,99,2,2
京都府,1974,100.0,100.0,1.41,99,101,2,2
京都府,1975,100.5,100.5,0.71,100,101,2,2
京都府,1976,101.0,101.0,1.41,100,102,2,2
京都府,1977,96.5,96.5,4.95,93,100,2,2
京都府,1978,103.5,103.5,0.71,103,104,2,2
京都府,1979,97.0,97.0,2.83,95,99,2,2
京都府,1980,100.0,100.0,1.41,99,101,2,2
京都府,1981,99.5,99.5,2.12,98,101,2,2
京都府,1982,92.0,92.0,2.83,90,94,2,2
京都府,1983,99.5,99.5,0.71,99,100,2,2
京都府,1984,107.0,107.0,2.83,105,109,2,2
京都府,1985,99.0,99.0,1.41,98,100,2,2
京都府,1986,99.5,99.5,2.12,98,101,2,2
京都府,1987,96.0,96.0,0.0,96,96,2,2
京都府,1988,104.0,104.0,2.83,102,106,2,2
京都府,1989,92.5,92.5,0.71,92,93,2,2
京都府,1990,89.0,89.0,1.41,88,90,2,2
京都府,1991,98.0,98.0,2.83,96,100,2,2
京都府,1992,95.0,95.0,1.41,94,96,2,2
京都府,1993,98.5,98.5,3.54,96,101,2,2
京都府,1994,99.0,99.0,4.24,96,102,2,2
京都府,1995,99.0,99.0,4.24,96,102,2,2
京都府,1996,103.0,103.0,4.24,100,106,2,2
京都府,1997,96.0,96.0,2.83,94,98,2,2
京都府,1998,90.5,90.5,0.71,90,91,2,2
京都府,1999,93.0,93.0,1.41,92,94,2,2
京都府,2000,102.0,102.0,1.41,101,103,2,2
京都府,2001,94.0,94.0,1.41,93,95,2,2
京都府,2002,88.5,88.5,2.12,87,90,2,2
京都府,2003,96.5,96.5,3.54,94,99,2,2
京都府,2004,92.5,92.5,2.12,91,94,2,2
京都府,2005,99.0,99.0,1.41,98,100,2,2
京都府,2006,98.0,98.0,2.83,96,100,2,2
京都府,2007,96.0,96.0,4.24,93,99,2,2
京都府,2008,95.0,95.0,4.24,92,98,2,2
京都府,2009,95.5,95.5,0.71,95,96,2,2
京都府,2010,93.5,93.5,3.54,91,96,2,2
京都府,2011,98.5,98.5,2.12,97,100,2,2
京都府,2012,101.5,101.5,2.12,100,103,2,2
京都府,2013,89.0,89.0,,89,89,1,1
京都府,2014,92.0,92.0,,92,92,1,1
京都府,2015,91.0,91.0,,91,91,1,1
京都府,2016,93.0,93.0,,93,93,1,1
京都府,2017,97.0,97.0,,97,97,1,1
京都府,2018,87.0,87.0,,87,87,1,1
京都府,2019,96.0,96.0,,96,96,1,1
京都府,2020,90.0,90.0,,90,90,1,1
京都府,2021,85.0,85.0,,85,85,1,1
京都府,2022,89.0,89.0,,89,89,1,1
京都府,2023,83.0,83.0,,83,83,1,1
京都府,2024,96.0,96.0,,96,96,1,1
京都府,2025,95.0,95.0,,95,95,1,1
佐賀県,1953,99.0,99.0,,99,99,1,1
佐賀県,1954,95.0,95.0,,95,95,1,1
佐賀県,1955,94.0,94.0,,94,94,1,1
佐賀県,1956,95.0,95.0,,95,95,1,1
佐賀県,1957,97.0,97.0,,97,97,1,1
佐賀県,1958,94.0,94.0,,94,94,1,1
佐賀県,1959,90.0,90.0,,90,90,1,1
佐賀県,1960,99.0,99.0,,99,99,1,1
佐賀県,1961,91.0,91.0,,91,91,1,1
佐賀県,1962,99.0,99.0,,99,99,1,1
佐賀県,1963,95.0,95.0,,95,95,1,1
佐賀県,1964,94.0,94.0,,94,94,1,1
佐賀県,1965,93.0,93.0,,93,93,1,1
佐賀県,1966,92.0,92.0,,92,92,1,1
佐賀県,1968,96.0,96.0,,96,96,1,1
佐賀県,1969,98.0,98.0,,98,98,1,1
佐賀県,1970,100.0,100.0,,100,100,1,1
佐賀県,1971,96.0,96.0,,96,96,1,1
佐賀県,1972,95.0,95.0,,95,95,1,1
佐賀県,1973,90.0,90.0,,90,90,1,1
佐賀県,1974,93.0,93.0,,93,93,1,1
佐賀県,1975,95.0,95.0,,95,95,1,1
佐賀県,1976,94.0,94.0,,94,94,1,1
