jma_station_code,wmo_station_id,station_name_jp,station_name_en,station_name_ja,province,climate_classification_koppen,first_year,last_year,total_years,total_records,mean_day_of_year,median_day_of_year,std_day_of_year,earliest_day_of_year,latest_day_of_year,latitude_deg,longitude_deg,city,subprovince
582,47582,秋田,AKITA,秋田,秋田県,Dfa,1953,2025,73,73,113.19,114.0,5.9,97,128,39.7175,140.0991666666667,秋田市,
407,47407,旭川,ASAHIKAWA,旭川,北海道,Dfb,1953,2025,73,73,129.01,130.0,6.33,115,140,43.75694444444444,142.37222222222223,旭川市,上川総合振興局
648,47648,銚子,CHOSHI,銚子,千葉県,Cfa,1953,2025,73,73,97.36,97.0,5.12,87,114,35.73972222222222,140.85722222222222,銚子市,
616,47616,福井,FUKUI,福井,福井県,,1953,2025,73,73,98.81,99.0,5.36,86,112,36.05555555555555,136.2225,福井市,
595,47595,福島,FUKUSHIMA,福島,福島県,,1953,2025,73,73,102.67,103.0,5.88,87,119,37.75944444444445,140.47083333333333,福島市,
632,47632,岐阜,GIFU,岐阜,岐阜県,,1953,2025,73,73,94.59,95.0,5.11,82,107,35.400277777777774,136.7625,岐阜市,
430,47430,函館,HAKODATE,函館,北海道,Dfb,1953,2025,73,73,125.36,126.0,6.73,110,148,41.81666666666667,140.75416666666666,函館市,渡島総合振興局
761,47761,彦根,HIKONE,彦根,滋賀県,,1953,2025,73,73,99.64,100.0,4.56,89,114,35.27611111111111,136.24388888888888,彦根市,
765,47765,広島,HIROSHIMA,広島,広島県,Cfa,1953,2025,73,73,95.32,96.0,4.66,84,107,34.39861111111111,132.46277777777777,広島市,
827,47827,鹿児島,KAGOSHIMA,鹿児島,鹿児島県,Cfa,1953,2025,73,73,94.14,94.0,4.71,85,110,31.555,130.54805555555555,鹿児島市,
605,47605,金沢,KANAZAWA,金沢,石川県,Cfa,1953,2025,73,73,99.48,100.0,4.92,88,111,36.58972222222222,136.63472222222222,金沢市,
770,47770,神戸,KOBE,神戸,兵庫県,,1953,2025,73,73,95.88,96.0,4.15,87,105,34.69694444444444,135.21277777777777,神戸市,
638,47638,甲府,KOFU,甲府,山梨県,,1953,2025,73,73,93.71,94.0,4.89,81,107,35.66722222222222,138.5538888888889,甲府市,
626,47626,熊谷,KUMAGAYA,熊谷,埼玉県,,1953,2025,73,73,96.14,97.0,5.42,81,111,36.15,139.38,熊谷市,
819,47819,熊本,KUMAMOTO,熊本,熊本県,,1953,2025,73,73,91.85,93.0,4.17,81,100,32.81361111111111,130.70694444444445,熊本市,
759,47759,京都,KYOTO,京都,京都府,Cfa,1953,2025,73,73,95.82,96.0,4.66,83,107,35.014722222222225,135.73277777777778,京都市,
