jma_station_code,wmo_station_id,station_name_jp,station_name_en,latitude_deg,longitude_deg,display_name,osm_type,osm_id,country,country_code,neighbourhood,quarter,city,subprovince,province,postcode,climate_classification_koppen,climate_lookup_note,geocode_error
401,47401,稚内,WAKKANAI,45.415,141.67888888888888,"開運2, 開運, 稚内市, 宗谷総合振興局, 北海道, 097-0023, 日本",way,26841878,日本,jp,開運2,開運,稚内市,宗谷総合振興局,北海道,097-0023,Dfb,,
406,47406,留萌,RUMOI,43.94611111111111,141.63194444444446,"大町二丁目, 本町四丁目, 留萌市, 留萌振興局, 北海道, 077-0048, 日本",way,328306443,日本,jp,大町二丁目,,留萌市,留萌振興局,北海道,077-0048,Dfb,,
407,47407,旭川,ASAHIKAWA,43.75694444444444,142.37222222222223,"大雪通, 宮前一条四丁目, 宮前, 旭川市, 上川総合振興局, 北海道, 北海道地方, 070-8525, 日本",way,208000266,日本,jp,宮前一条四丁目,,旭川市,上川総合振興局,北海道,070-8525,Dfb,,
409,47409,網走,ABASHIRI,44.01777777777777,144.27972222222223,"南十条東五丁目, 網走市, オホーツク総合振興局, 北海道, 北海道地方, 093-0031, 日本",way,155404827,日本,jp,南十条東五丁目,,網走市,オホーツク総合振興局,北海道,093-0031,Dfb,,
412,47412,札幌,SAPPORO,43.06,141.32861111111112,"宮の沢北一条線, 北1条西18丁目, 中央区, 札幌市, 石狩振興局, 北海道, 北海道地方, 064-8639, 日本",node,12634724294,日本,jp,北1条西18丁目,,札幌市,石狩振興局,北海道,064-8639,Dfb,,
413,47413,岩見沢,IWAMIZAWA,43.211666666666666,141.78583333333333,"五条東十五丁目, 五条東十六丁目, 岩見沢市, 空知総合振興局, 北海道, 北海道地方, 068-0002, 日本",way,183392143,日本,jp,五条東十五丁目,,岩見沢市,空知総合振興局,北海道,068-0002,Dfb,,
417,47417,帯広,OBIHIRO,42.92222222222222,143.21194444444444,"東八条南十丁目, 帯広市, 十勝総合振興局, 北海道, 080-0805, 日本",way,174716968,日本,jp,東八条南十丁目,,帯広市,十勝総合振興局,北海道,080-0805,Dfb,,
418,47418,釧路,KUSHIRO,42.98583333333333,144.3777777777778,"北大通十丁目, 幸町十丁目, 釧路市, 釧路総合振興局, 北海道, 085-0017, 日本",way,104834274,日本,jp,北大通十丁目,,釧路市,釧路総合振興局,北海道,085-0017,Dfb,,
420,47420,根室,NEMURO,43.33055555555556,145.58555555555557,"根室半島線, 月見町二丁目, 根室市, 根室振興局, 北海道, 087-8686, 日本",way,104349551,日本,jp,月見町二丁目,,根室市,根室振興局,北海道,087-8686,Dfb,,
423,47423,室蘭,MURORAN,42.31166666666666,140.9752777777778,"栄町二丁目, 室蘭市, 胆振総合振興局, 北海道, 051-0014, 日本",way,307449822,日本,jp,栄町二丁目,,室蘭市,胆振総合振興局,北海道,051-0014,Dfb,,
426,47426,浦河,URAKAWA,42.1625,142.77694444444447,"潮見町, 浦河町, 浦河郡, 日高振興局, 北海道, 057-0021, 日本",way,161982420,日本,jp,潮見町,,,日高振興局,北海道,057-0021,Dfb,,
428,47428,江差,ESASHI,41.86722222222223,140.1238888888889,"国道228号, 姥神町, 津花町, 江差町, 檜山郡, 檜山振興局, 北海道, 北海道地方, 043-0041, 日本",way,35940998,日本,jp,姥神町,津花町,,檜山振興局,北海道,043-0041,Dfa,,
430,47430,函館,HAKODATE,41.81666666666667,140.75416666666666,"赤川函館線, 赤川一丁目, 函館市, 渡島総合振興局, 北海道, 041-8558, 日本",way,1064740629,日本,jp,赤川一丁目,,函館市,渡島総合振興局,北海道,041-8558,Dfb,,
