year,station_name_jp,jma_station_code,wmo_station_id,event,date
1953,稚内,401,47401,flowering,1953-05-21
1953,留萌,406,47406,flowering,1953-05-08
1953,旭川,407,47407,flowering,1953-05-11
1953,網走,409,47409,flowering,1953-05-24
1953,札幌,412,47412,flowering,1953-05-07
1953,岩見沢,413,47413,flowering,1953-05-09
1953,帯広,417,47417,flowering,1953-05-15
1953,釧路,418,47418,flowering,None
1953,根室,420,47420,flowering,None
1953,室蘭,423,47423,flowering,1953-05-10
1953,浦河,426,47426,flowering,1953-05-09
1953,江差,428,47428,flowering,1953-05-08
1953,函館,430,47430,flowering,1953-05-02
1953,倶知安,433,47433,flowering,1953-05-12
1953,紋別,435,47435,flowering,None
1953,広尾,440,47440,flowering,None
1953,新庄,520,47520,flowering,None
1953,青森,575,47575,flowering,None
1953,八戸,581,47581,flowering,1953-04-26
1953,秋田,582,47582,flowering,1953-04-22
1953,盛岡,584,47584,flowering,1953-04-27
1953,宮古,585,47585,flowering,1953-04-22
1953,酒田,587,47587,flowering,1953-04-15
1953,山形,588,47588,flowering,1953-04-19
1953,仙台,590,47590,flowering,1953-04-11
1953,福島,595,47595,flowering,1953-04-09
1953,白河,597,47597,flowering,1953-04-16
1953,小名浜,598,47598,flowering,1953-04-06
1953,輪島,600,47600,flowering,1953-04-08
1953,相川,602,47602,flowering,1953-04-11
1953,新潟,604,47604,flowering,1953-04-13
1953,金沢,605,47605,flowering,1953-04-02
1953,富山,607,47607,flowering,1953-04-08
1953,長野,610,47610,flowering,1953-04-17
1953,高田,612,47612,flowering,1953-04-10
1953,宇都宮,615,47615,flowering,1953-04-06
1953,福井,616,47616,flowering,1953-04-07
1953,高山,617,47617,flowering,1953-04-21
1953,松本,618,47618,flowering,1953-04-11
1953,前橋,624,47624,flowering,1953-04-03
1953,熊谷,626,47626,flowering,1953-04-01
1953,水戸,629,47629,flowering,1953-04-04
1953,敦賀,631,47631,flowering,1953-04-03
1953,岐阜,632,47632,flowering,1953-04-03
1953,名古屋,636,47636,flowering,1953-04-03
1953,飯田,637,47637,flowering,1953-04-07
1953,甲府,638,47638,flowering,1953-03-30
1953,銚子,648,47648,flowering,1953-03-25
1953,津,651,47651,flowering,1953-04-01
1953,浜松,654,47654,flowering,1953-04-01
1953,静岡,656,47656,flowering,1953-03-25
1953,東京,662,47662,flowering,1953-03-26
1953,尾鷲,663,47663,flowering,1953-03-22
1953,横浜,670,47670,flowering,1953-03-25
1953,館山,672,47672,flowering,None
1953,大島,675,47675,flowering,1953-04-05
1953,三宅島,677,47677,flowering,None
1953,八丈島,678,47678,flowering,1953-03-27
1953,西郷,740,47740,flowering,1953-04-06
1953,松江,741,47741,flowering,1953-04-02
1953,米子,744,47744,flowering,None
1953,鳥取,746,47746,flowering,1953-04-03
1953,豊岡,747,47747,flowering,1953-04-05
1953,舞鶴,750,47750,flowering,1953-04-01
1953,浜田,755,47755,flowering,1953-03-23
1953,京都,759,47759,flowering,1953-04-05
1953,彦根,761,47761,flowering,1953-04-05
1953,下関,762,47762,flowering,1953-03-29
1953,広島,765,47765,flowering,1953-04-02
1953,岡山,768,47768,flowering,1953-03-31
1953,神戸,770,47770,flowering,1953-04-04
1953,大阪,772,47772,flowering,1953-04-02
1953,洲本,776,47776,flowering,1953-03-30
1953,和歌山,777,47777,flowering,1953-03-20
1953,潮岬,778,47778,flowering,None
1953,奈良,780,47780,flowering,None
1953,厳原,800,47800,flowering,1953-03-28
1953,福岡,807,47807,flowering,1953-03-28
1953,佐賀,813,47813,flowering,1953-03-26
1953,大分,815,47815,flowering,1953-03-26
1953,長崎,817,47817,flowering,1953-03-26
1953,熊本,819,47819,flowering,1953-03-28
1953,延岡,822,47822,flowering,None
1953,鹿児島,827,47827,flowering,1953-03-29
1953,宮崎,830,47830,flowering,None
1953,屋久島,836,47836,flowering,None
1953,種子島,837,47837,flowering,1953-03-25
1953,福江,843,47843,flowering,1953-03-26
1953,松山,887,47887,flowering,1953-03-26
1953,高松,891,47891,flowering,1953-04-01
1953,宇和島,892,47892,flowering,None
1953,高知,893,47893,flowering,None
1953,徳島,895,47895,flowering,1953-03-27
1953,名瀬,909,47909,flowering,1953-01-29
1953,与那国島,912,47912,flowering,None
1953,西表島,917,47917,flowering,None
1953,石垣島,918,47918,flowering,1953-01-09
1953,宮古島,927,47927,flowering,None
1953,久米島,929,47929,flowering,None
1953,那覇,936,47936,flowering,None
1953,名護,940,47940,flowering,None
1953,南大東島,945,47945,flowering,None
1954,稚内,401,47401,flowering,1954-05-17
