wmo_index,station_name,country_area,latitude_deg,longitude_deg,station_name_ja
60351,JIJEL- ACHOUAT,ALGERIA,36.8,5.883333333333333,
60353,JIJEL-PORT,ALGERIA,36.81666666666667,5.883333333333333,
60355,SKIKDA,ALGERIA,36.88333333333333,6.9,
60360,ANNABA,ALGERIA,36.833333333333336,7.816666666666666,
60368,TARF,ALGERIA,36.75,8.083333333333334,
60369,ALGER-PORT,ALGERIA,36.766666666666666,3.1,
60370,KOUBA,ALGERIA,36.71666666666667,3.1,
60371,OUED KORICHE,ALGERIA,36.78333333333333,3.033333333333333,
60372,BOUZAREAH,ALGERIA,36.78333333333333,3.0,
60374,AIN BENAIN,ALGERIA,36.78333333333333,2.8833333333333333,
60376,BORDJ EL BAHRI,ALGERIA,36.78333333333333,3.25,
60379,REGHAIA,ALGERIA,36.766666666666666,3.3333333333333335,
60380,TESSALA EL MERDJA,ALGERIA,36.61666666666667,2.9166666666666665,
60381,EL HARRACH,ALGERIA,36.71666666666667,3.15,
60390,DAR-EL-BEIDA,ALGERIA,36.68333333333333,3.216666666666667,
60393,DAR EL BEIDA VILLE,ALGERIA,36.7,3.2,
60394,BARAKI,ALGERIA,36.68333333333333,3.1,
60395,TIZI-OUZOU,ALGERIA,36.7,4.133333333333334,
60402,BEJAIA-AEROPORT,ALGERIA,36.71666666666667,5.066666666666666,
60403,GUELMA,ALGERIA,36.46666666666667,7.466666666666667,
60410,TENES,ALGERIA,36.5,1.3333333333333333,
60415,AIN-BESSAM,ALGERIA,36.28333333333333,3.6666666666666665,
60419,CONSTANTINE,ALGERIA,36.28333333333333,6.616666666666667,
60421,OUM EL BOUAGHI,ALGERIA,35.86666666666667,7.116666666666666,
60423,SOUK AHRAS,ALGERIA,36.25,7.95,
60425,CHLEF,ALGERIA,36.21666666666667,1.3333333333333333,
60430,MILIANA,ALGERIA,36.3,2.2333333333333334,
60437,MEDEA,ALGERIA,36.28333333333333,2.7333333333333334,
60444,BORDJ-BOU-ARRERIDJ,ALGERIA,36.06666666666667,4.666666666666667,
60445,SETIF/AIN ARNAT,ALGERIA,36.166666666666664,5.316666666666666,
60452,ARZEW,ALGERIA,35.81666666666667,-0.26666666666666666,
60457,MOSTAGANEM,ALGERIA,35.88333333333333,0.11666666666666667,
60461,ORAN-PORT,ALGERIA,35.7,-0.65,
60467,M'SILA,ALGERIA,35.666666666666664,4.5,
60468,BATNA,ALGERIA,35.75,6.316666666666666,
60475,TEBESSA,ALGERIA,35.46666666666667,8.116666666666667,
60476,KHENCHELLA,ALGERIA,35.46666666666667,7.083333333333333,
60490,ORAN-SENIA,ALGERIA,35.63333333333333,-0.6,
60492,RELIZANE,ALGERIA,35.75,0.6166666666666667,
60507,MASCARA-GHRISS,ALGERIA,35.35,0.15,
60511,TIARET,ALGERIA,35.35,1.4666666666666668,
60514,KSAR CHELLALA,ALGERIA,35.166666666666664,2.3166666666666664,
60515,BOU-SAADA,ALGERIA,35.333333333333336,4.2,
60517,GHAZAOUET,ALGERIA,35.1,-1.8666666666666667,
60518,BENI-SAF,ALGERIA,35.3,-1.35,
60520,SIDI-BEL-ABBES,ALGERIA,35.2,-0.6166666666666667,
60522,MAGHNIA,ALGERIA,34.81666666666667,-1.7833333333333332,
60525,BISKRA,ALGERIA,34.8,5.733333333333333,
60531,TLEMCEN-ZENATA,ALGERIA,35.016666666666666,-1.4666666666666668,
60535,DJELFA,ALGERIA,33.15,3.3833333333333333,
60536,SAIDA,ALGERIA,34.86666666666667,0.15,
