climate_classification_koppen,year,mean_day_of_year,median_day_of_year,std_day_of_year,min_day_of_year,max_day_of_year,station_count,record_count
Af,1954,45.0,45.0,,45,45,1,1
Af,1956,41.0,41.0,,41,41,1,1
Af,1957,25.0,25.0,,25,25,1,1
Af,1958,27.5,27.5,0.71,27,28,2,2
Af,1959,34.0,34.0,1.41,33,35,2,2
Af,1962,51.0,51.0,,51,51,1,1
Af,1963,46.0,46.0,,46,46,1,1
Af,1967,44.0,44.0,,44,44,1,1
Af,1968,19.0,19.0,,19,19,1,1
Af,1971,37.5,37.5,4.95,34,41,2,2
Af,1972,39.0,39.0,16.97,27,51,2,2
Af,1973,40.0,40.0,4.24,37,43,2,2
Af,1974,20.0,20.0,,20,20,1,1
Af,1975,36.5,36.5,6.36,32,41,2,2
Af,1976,28.0,28.0,,28,28,1,1
Af,1977,32.5,32.5,2.12,31,34,2,2
Af,1978,49.0,49.0,,49,49,1,1
Af,1979,36.5,36.5,3.54,34,39,2,2
Af,1980,37.0,37.0,4.24,34,40,2,2
Af,1981,33.33,33.0,5.51,28,39,3,3
Af,1982,32.33,29.0,10.41,24,44,3,3
Af,1983,38.33,40.0,8.62,29,46,3,3
Af,1984,27.0,26.0,3.61,24,31,3,3
Af,1985,31.67,30.0,4.73,28,37,3,3
Af,1986,29.67,32.0,4.93,24,33,3,3
Af,1987,29.67,30.0,2.52,27,32,3,3
Af,1988,32.0,32.0,9.9,25,39,2,2
Af,1989,28.67,30.0,20.03,8,48,3,3
Af,1990,31.33,30.0,8.08,24,40,3,3
Af,1991,48.0,49.0,13.53,34,61,3,3
Af,1992,32.67,32.0,6.03,27,39,3,3
Af,1993,33.67,29.0,13.61,23,49,3,3
Af,1994,35.0,30.0,8.66,30,45,3,3
Af,1995,46.67,49.0,4.93,41,50,3,3
Af,1996,27.33,25.0,5.86,23,34,3,3
Af,1997,38.33,37.0,12.06,27,51,3,3
Af,1998,46.0,46.0,19.8,32,60,2,2
Af,1999,49.33,50.0,6.03,43,55,3,3
Af,2000,28.0,27.0,5.57,23,34,3,3
Af,2001,36.0,39.0,6.08,29,40,3,3
Af,2002,32.0,32.0,3.0,29,35,3,3
Af,2003,40.33,36.0,9.29,34,51,3,3
Af,2004,44.0,38.0,14.93,33,61,3,3
Af,2005,44.67,47.0,5.86,38,49,3,3
Af,2006,30.33,31.0,3.06,27,33,3,3
Af,2007,51.0,50.0,6.56,45,58,3,3
Af,2008,46.0,51.0,9.54,35,52,3,3
Af,2009,41.67,40.0,4.73,38,47,3,3
Af,2010,38.67,39.0,7.51,31,46,3,3
Af,2011,34.67,35.0,6.51,28,41,3,3
Af,2012,34.0,32.0,5.29,30,40,3,3
Af,2013,32.67,32.0,12.01,21,45,3,3
Af,2014,32.33,34.0,9.61,22,41,3,3
Af,2015,34.33,35.0,10.02,24,44,3,3
Af,2016,59.67,61.0,3.21,56,62,3,3
Af,2017,51.0,50.0,6.56,45,58,3,3
Af,2018,35.33,38.0,5.51,29,39,3,3
Af,2019,41.0,41.0,2.83,39,43,2,2
Af,2021,40.0,40.0,1.41,39,41,2,2
Af,2022,44.33,41.0,7.57,39,53,3,3
Af,2023,34.0,34.0,,34,34,1,1
Af,2024,33.0,33.0,,33,33,1,1
Af,2025,35.0,35.0,,35,35,1,1
Cfa,1953,98.43,99.0,12.96,33,119,35,35
Cfa,1954,96.83,95.0,4.62,91,110,35,35
Cfa,1955,96.31,96.0,4.46,87,106,35,35
Cfa,1956,99.69,101.0,13.96,24,114,36,36
Cfa,1957,101.32,102.0,12.93,31,114,37,37
Cfa,1958,99.06,97.5,5.83,87,114,36,36
Cfa,1959,92.68,93.0,9.85,43,110,37,37
Cfa,1960,96.37,96.0,11.86,36,117,38,38
