province,mean_day_of_year,median_day_of_year,mean_std_day_of_year,earliest_day_of_year,latest_day_of_year,total_years,total_station_observations,total_records
沖縄県,35.982835820895524,35.73134328358209,6.968070175438597,8,62,67,292,292
鹿児島県,75.12438356164384,83.12328767123287,35.74375,13,117,73,169,169
高知県,89.84057971014492,89.84057971014492,,78,99,69,69,69
熊本県,91.84931506849315,91.84931506849315,,81,100,73,73,73
福岡県,92.27777777777777,92.27777777777777,,81,101,72,72,72
宮崎県,92.41095890410959,92.41095890410959,1.500909090909091,81,103,73,106,106
佐賀県,92.97222222222223,92.97222222222223,,83,101,72,72,72
長崎県,93.24671232876713,93.23287671232876,1.6756140350877193,82,104,73,187,187
和歌山県,93.69014084507042,93.69014084507042,1.7822,84,104,71,121,121
山梨県,93.71232876712328,93.71232876712328,,81,107,73,73,73
静岡県,93.76027397260275,93.76027397260275,1.2917307692307693,81,103,73,125,125
神奈川県,93.79452054794521,93.79452054794521,,81,106,73,73,73
愛媛県,94.02054794520548,94.02054794520548,1.4687179487179487,82,105,73,112,112
愛知県,94.47945205479452,94.47945205479452,,86,106,73,73,73
大分県,94.65753424657534,94.65753424657534,,84,103,73,73,73
三重県,94.83561643835617,94.83561643835617,2.1594545454545453,84,109,73,128,128
大阪府,95.27692307692308,95.27692307692308,,85,107,65,65,65
徳島県,95.28767123287672,95.28767123287672,,86,104,73,73,73
広島県,95.31506849315069,95.31506849315069,,84,107,73,73,73
奈良県,95.72222222222223,95.72222222222223,,85,107,72,72,72
香川県,95.72602739726027,95.72602739726027,,82,106,73,73,73
山口県,95.82191780821918,95.82191780821918,,85,104,73,73,73
岡山県,96.12328767123287,96.12328767123287,,86,106,73,73,73
埼玉県,96.13698630136986,96.13698630136986,,81,111,73,73,73
兵庫県,96.55931506849315,96.1986301369863,2.187818181818182,86,109,73,177,177
鳥取県,96.66438356164383,96.66438356164383,0.9390909090909091,83,108,73,128,128
京都府,96.78082191780823,96.78082191780823,1.9091666666666667,83,109,73,133,133
千葉県,96.93150684931507,96.93150684931507,1.675263157894737,86,114,73,111,111
群馬県,97.10958904109589,97.10958904109589,,83,112,73,73,73
島根県,97.25780821917807,97.39041095890411,2.7919642857142857,85,111,73,178,178
福井県,98.45205479452055,98.45205479452055,0.8532075471698113,86,112,73,126,126
栃木県,98.56164383561644,98.56164383561644,,84,115,73,73,73
茨城県,98.79452054794521,98.79452054794521,,86,118,73,73,73
滋賀県,99.64383561643835,99.64383561643835,,89,114,73,73,73
岐阜県,99.81506849315069,99.81506849315069,10.180377358490565,82,123,73,126,126
富山県,100.64383561643835,100.64383561643835,,86,115,73,73,73
石川県,101.11643835616438,101.11643835616438,2.915172413793104,88,119,73,131,131
福島県,103.55027397260274,102.85616438356165,3.339642857142857,87,123,73,174,174
新潟県,104.91794520547946,104.72602739726027,2.4225454545454546,90,121,73,183,183
長野県,105.14410958904111,105.96575342465754,4.017818181818182,90,123,73,182,182
宮城県,105.53424657534246,105.53424657534246,,90,124,73,73,73
山形県,110.44986301369863,109.6917808219178,2.9003508771929822,95,132,73,170,170
秋田県,113.1917808219178,113.1917808219178,,97,128,73,73,73
岩手県,114.44520547945206,114.44520547945206,2.3263636363636366,96,140,73,128,128
青森県,118.06849315068493,118.06849315068493,2.121538461538462,101,144,73,125,125
北海道,131.7350684931507,130.7945205479452,5.704931506849315,110,160,73,973,973
