jma_station_code,wmo_station_id,station_name_jp,station_name_en,province,climate_classification_koppen,year,day_of_year,date,latitude_deg,longitude_deg,city,subprovince
409,47409,網走,ABASHIRI,北海道,Dfb,1953,146,1953-05-26,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1954,139,1954-05-19,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1955,140,1955-05-20,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1956,134,1956-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1959,127,1959-05-07,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1966,141,1966-05-21,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1968,131,1968-05-10,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1969,133,1969-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1970,130,1970-05-10,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1971,140,1971-05-20,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1972,127,1972-05-06,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1973,133,1973-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1974,138,1974-05-18,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1975,137,1975-05-17,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1976,137,1976-05-16,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1977,136,1977-05-16,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1978,134,1978-05-14,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1979,146,1979-05-26,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1980,144,1980-05-23,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1981,137,1981-05-17,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1982,133,1982-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1983,125,1983-05-05,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1984,147,1984-05-26,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1985,132,1985-05-12,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1986,130,1986-05-10,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1987,131,1987-05-11,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1988,136,1988-05-15,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1989,139,1989-05-19,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1990,129,1990-05-09,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1991,130,1991-05-10,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1992,137,1992-05-16,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1993,142,1993-05-22,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1994,137,1994-05-17,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1995,130,1995-05-10,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1996,148,1996-05-27,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1997,135,1997-05-15,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1998,121,1998-05-01,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,1999,133,1999-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,2000,142,2000-05-21,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,2001,133,2001-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,2002,121,2002-05-01,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,2003,132,2003-05-12,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,2004,134,2004-05-13,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
409,47409,網走,ABASHIRI,北海道,Dfb,2005,145,2005-05-25,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
